Step,Total Reward
0,0.7913793103448276
1,1.5827586206896551
2,2.3741379310344826
3,3.1568965517241376
4,3.9396551724137927
5,4.722413793103448
6,5.496551724137931
7,6.270689655172414
8,7.044827586206897
9,7.810344827586207
10,8.575862068965517
11,9.341379310344827
12,10.098275862068965
13,10.855172413793102
14,11.61206896551724
15,12.360344827586205
16,13.10862068965517
17,13.856896551724136
18,14.596551724137928
19,15.33620689655172
20,16.075862068965513
21,16.815517241379307
22,17.555172413793102
23,18.294827586206896
24,19.024425287356323
25,19.754377519032694
26,20.485412001791314
27,21.207825794894763
28,21.933113151216602
29,22.66271085236603
30,23.382251082251088
31,24.101791312136147
32,24.821331542021206
33,25.533687863860287
34,26.246398716226313
35,26.95910956859234
36,27.661762949693998
37,28.36585311240485
38,29.073899089416344
39,29.773324376772667
40,30.472208538587864
41,33.671633825944184
42,34.3662076429318
43,35.06113599044635
44,35.756959994028975
45,36.43912524257353
46,37.130284370801625
47,37.82036124794747
48,38.501817435438134
49,40.43381474846993
50,42.36581206150172
51,43.04241677862368
52,43.71685699358114
53,45.64614867890731
54,46.31627854903718
55,46.982993730407536
56,51.41030750858339
57,52.07720928496792
58,56.4944655918794
59,58.41405433646814
60,59.074481265860584
61,60.98615838184804
62,62.90376921928647
63,63.563113897596665
64,66.72695551574863
65,67.39367069711898
66,68.05409762651142
67,68.71165099268548
68,69.37028660994179
69,70.01957381698762
70,70.66669652186894
71,75.0706486042693
72,75.71327436930885
73,78.86129273025824
74,80.7609158083296
75,81.4060606060606
76,82.05282878041498
77,83.94832810867294
78,84.58431109120765
79,86.47100313479625
80,87.1102142110763
81,87.7384721600239
82,90.86923048216154
83,92.75142558590836
84,93.37500000000001
85,95.24928347514556
86,97.12410807583223
87,97.74066651739066
88,99.60739289446187
89,100.22861621137484
90,100.83924093148232
91,101.45273921480819
92,102.06731974921631
93,102.67309299895507
94,103.27364158829677
95,106.37868711748023
96,106.97600761307659
97,107.57403716972684
98,110.67350350798628
99,111.26056127780268
100,113.09851470368714
101,114.94131959994031
102,115.52604493207944
103,116.11131138975969
104,116.6940588147485
105,117.26799895506795
106,119.08833781161371
107,119.65794894760415
108,120.21785714285718
109,120.78207568293779
110,122.59791759964178
111,123.15297432452608
112,123.7037207045828
113,124.25590386624873
114,124.79532392894465
115,126.58780414987315
116,128.38315793402003
117,128.91718540080612
118,130.70589640244816
119,132.5008956560681
120,133.0340274667861
121,134.82076056127784
122,137.8592849679057
123,138.38450515002242
124,138.9093708016122
125,140.68423645320198
126,141.1932788475892
127,142.95573593073593
128,147.227000298552
129,147.7412486938349
130,148.25676593521422
131,150.02263770712048
132,150.52861994327512
133,151.03766233766234
134,151.54689132706375
135,152.0451485296313
136,155.0500671742051
137,155.55748619196896
138,156.052328705777
139,157.80131362889986
140,160.7995708314674
141,161.29027093596062
142,163.03313554261834
143,167.2754403642335
144,167.75858337065236
145,168.2411852515301
146,168.7219771607703
147,169.192170473205
148,169.65984475294826
149,170.12500000000006
150,170.58692715330653
151,172.30118674429025
152,175.2652597402598
153,175.72466786087483
154,176.18532616808486
155,177.89939916405442
156,178.361867442902
157,178.82541797283184
158,180.54184206598006
159,181.00737050306023
160,181.47056650246313
161,181.93016121809234
162,182.38994252873573
163,182.85061949544718
164,187.05948649052107
165,187.5210591133006
166,187.9779668607256
167,189.68504254366334
168,190.14626063591592
169,190.6089155097777
170,191.06959247648913
171,191.5309971637559
172,191.99258844603685
173,193.70488878937167
174,194.1657523510973
175,194.62517913121374
176,195.08262800417987
177,198.04744738020614
178,198.50902000298566
179,198.96934243917016
180,200.68272503358725
181,201.14250634423064
182,201.6087625018661
183,205.83005672488446
184,206.30026869682058
185,206.76598372891493
186,207.23475891924184
187,210.20532542170488
188,213.176787580236
189,213.64520824003597
190,214.11433796088983
191,215.8318443051203
192,218.8027653381103
193,219.26973055679966
194,219.7347178683387
195,222.70528437080173
196,223.1792655620243
197,223.6532467532469
198,224.12543663233333
199,224.59618972981056
200,225.0662151067325
201,225.5349902970594
202,227.25430661292745
203,228.97235408269907
204,229.43933796088984
205,229.90667636960757
206,231.62130915061965
207,232.08612852664592
208,232.54986565158995
209,233.01306165099285
210,234.7293178086283
211,236.4425138080312
212,236.9049820868788
213,237.36314002089878
214,237.82238020600104
215,239.53089267054798
216,239.98563591580847
217,240.4430847887746
218,240.90088819226764
219,242.6065270935962
220,243.06397596656234
221,243.51620017913137
222,243.96553216898062
223,245.67008881922692
224,246.1228541573371
225,246.56643902074953
226,247.01452082400374
227,249.96691297208554
228,250.41570383639365
229,252.11863711001658
230,252.57121585311256
231,253.01461412151082
232,253.45747126436797
233,253.89583146738335
234,254.32807135393358
235,256.01283027317527
236,256.4481303179581
237,256.8798290789672
238,257.3108187789224
239,258.99432751156905
240,259.4222570532917
241,259.85162337662354
242,261.53548663979717
243,261.96683087027935
244,263.65123525899406
245,265.33869980594136
246,265.77616435288866
247,268.71506568144514
248,269.14911553963293
249,269.5811874906704
250,270.01128153455755
251,271.6947902672042
252,272.1239886550233
253,272.5580385132111
254,274.24387968353506
255,275.93638229586526
256,276.37655247051816
257,276.8195962083895
258,278.51534557396644
259,278.95947156292004
260,279.4001828631141
261,282.3453911031499
262,282.7841244961936
263,284.47698163905073
264,284.9196708463951
265,287.8652336169579
266,288.30413494551436
267,288.74663755784456
268,289.1893267651889
269,292.13218390804604
270,292.57324973876706
271,293.0143155694881
272,293.45411255411267
273,293.8991341991343
274,296.84775712792964
275,297.2911553963279
276,297.7358225108226
277,299.43048962531725
278,299.87028660994184
279,300.3124346917451
280,302.00889311837597
281,302.45156366621893
282,302.8951485296314
283,303.3398156441261
284,305.02961262875067
285,307.9760710553815
286,309.67829526795055
287,310.1270861322586
288,311.8287692192865
289,312.2863860277654
290,313.9927339901478
291,314.45286983131814
292,314.90815420211976
293,315.35856844305124
294,315.8086281534558
295,316.2583333333334
296,316.7035415733692
297,317.14820868786387
298,317.59647708613227
299,318.0470779220779
300,319.74894760412
301,321.4533363188536
302,321.9021458426631
303,322.35130989699957
304,322.7974137931035
305,323.2449544708166
306,323.6860203015376
307,324.12941856993586
308,324.57498134049865
309,326.2734176742798
310,327.9709583519929
311,328.4210180623975
312,328.8671219585014
313,329.3137669801464
314,329.7578929691
315,330.20147783251247
316,330.6441670398568
317,332.3395432154054
318,334.0361882370504
319,334.4828332586954
320,337.43343409464103
321,337.88151589789527
322,338.3295977011495
323,338.77911628601294
324,339.22359680549346
325,339.6630392595911
326,340.1041050903121
327,340.54912673533374
328,340.99019256605476
329,341.4328817733991
330,341.87521645021656
331,343.56844678310205
332,345.26221824152867
333,345.7029295417227
334,346.1439953724437
335,346.5895581430065
336,348.2862031646515
337,349.9817659352143
338,350.42984773846854
339,350.87738841618165
340,352.57601134497696
341,353.02769443200486
342,353.47739961188245
343,353.9238580385133
344,354.369775339603
345,354.81479698462465
346,355.25586281534567
347,355.6969286460667
348,356.1345797880282
349,357.8256456187492
350,358.2661703239291
351,358.70471712195865
352,359.14578295267967
353,360.83936781609214
354,362.5327660844904
355,362.97472757127946
356,363.41291983878205
357,366.35740035826257
358,366.80152634721617
359,367.2465479922378
360,367.6840125391851
361,368.12201821167355
362,368.5575048514705
363,370.2458650544859
364,370.67991491267367
365,371.11846171070323
366,372.80286609941794
367,373.24087177190637
368,374.9296051649501
369,376.62012987013
370,378.31209135691904
371,378.7556762203315
372,379.1981788326617
373,379.6351022540679
374,381.32292133154215
375,381.7564114046874
376,382.1926071055383
377,382.62880280638916
378,383.06193834900745
379,383.4907635467982
380,383.92281683833426
381,386.85899387968374
382,387.2939207344382
383,388.9833445290344
384,389.42260038811787
385,392.36652112255587
386,392.8066726377074
387,393.24628302731776
388,393.6884124496196
389,396.63485221674904
390,398.33345648604296
391,398.77883266159154
392,399.223667711599
393,400.91669278996886
394,401.3593633378118
395,401.8027616062101
